Title,Price,Description,Location,Ddate Posted,Features,URL
Your dream lifesyle at Yonge & Eglinton,"$2,300.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>REDUCED....This boutique style condo is in one of the safest and best known areas of Toronto...Yonge and Eglinton, and is located on a quiet side street with an easy walk to the corner of Yonge &amp; Eglinton.
This stylish 1 bedroom plus den condo has a furnished balcony, hardwood floors, full size stainless steel appliances, granite counter tops, ceramic stove top and ensuite laundry. Also included are modern 1 way sun screen blinds, bathroom cabinets, light fixtures and trendy wall colours. Invite your friends over for a stay, nominally priced guest suites are available to rent, enjoy the 20th floor outdoor roof top terrace with hot tub, lounges, pool tables, barbeques and dinning area overlooking downtown Toronto. Indoor on the 20th floor is a fully equiped gym with lockers and showers, and a party room with a panoramic view of downtown Toronto. On the ground floor you can stretch out or shoot some hoops in the Yoga studio/ Basketball court and then relax in front of the big screen theatre room.
You will love to walk through the vibrant safe neighbourhood as steps away are parks, theatres, pubs, restaurants, subway, schools, patios, shopping and coffee shops.
1 parking space, storage room and balcony furniture are included. Concierge/security also provided.
Heat, hydro and cable are extra. ( utilities estimate only $65 - $85 per month). No smoking inside. No pets.
This suite goes quickly. Available Oct 1, 2019 to the first tenant(s) who signs the lease agreement with the first and last months rent and $250 security deposit included. Please have your job references and credit score available for application. Postal code I use there is M4S 0A2.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">83 Redpath Ave, Toronto, ON M4S 2J7, Canada</span>","<time datetime=""2019-09-03T19:25:44.000Z"" title=""September 3, 2019 7:25 PM"">a day ago</time>","Unit TypeCondo : Bedrooms1 + Den : Bathrooms1 : Parking Included1 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyNo : Size (sqft)670 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
“Available Immediately” A Newly Renovated Two Bedroom Suite,"$1,500.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Beautifully renovated two bedroom basement suite for rent all inclusive. This two bedroom suite is equipped with new stainless steel appliances, bright spacious bathroom &amp; bedrooms , washer dryer in unit, tastefully decorated.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">309 Arrowhead Pl,, K7M 3L4, Kingston, ON</span>","<time datetime=""2019-09-02T21:07:10.000Z"" title=""September 2, 2019 9:07 PM"">2 days ago</time>","Unit TypeBasement : Bedrooms2 : Bathrooms1 : Parking Included1 : Agreement Type1 Year : Move-In DateSeptember 1, 2019 : Pet FriendlyLimited : Size (sqft)1,000 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
"Gatineau, (secteur Hull) Trois chambres (1200 pi. car.)",$925.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Quadruplex, Secteur paisible, au pied du Parc de la Gatineau, 15 min. du centre-ville d'Ottawa et près de l'autoroute 5. Près des CEGEP (Français et Anglais). Près des écoles primaire et secondaire. Arrêt autobus au coin de la rue. Université du Québec (1 km). Planchers flottants, linoléum, céramique. Pas de cannabis.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">68 Rue Lemieux, Gatineau, QC J8Z 1G8, Canada</span>","<time datetime=""2019-09-01T18:18:18.000Z"" title=""September 1, 2019 6:18 PM"">3 days ago</time>","Unit TypeApartment : Bedrooms3 : Bathrooms1 : Parking Included2 : Agreement TypeMonth-to-month : Move-In DateSeptember 1, 2019 : Pet FriendlyNo : Size (sqft)1,200 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
Commercial Kitchen for Rent,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>ST. catharines, ontario</p><p>The ‘commis’ stage in every chef’s life is a time marked by hard work, trial and error, and lots of learning. You keep each other on your toes and in the know.</p><p>At Commis we offer a freshly restored commercial kitchen space for you to operate your food business, no matter what stage you’re at.</p><p>If you’re just starting out, need affordable space but aren’t ready to make it your full time gig, opt for the Chef de Partie membership tier.</p><p>If you’ve been at this a while and are looking to scale up production, you might want to look at the economy of scale offered by the Sous or Exec Chef tiers.</p><p>Get in touch today to find out how together, we can all thrive.</p><p>Drop in kitchen rental available $20 per hour.</p><p>Chef de Partie - $60+ HST/month membership fee</p><p>- access to equipped, sanitary kitchen space
- your own secure access code
- reduced hourly rate $15/hr
- ability to purchase storage space on a monthly basis
- access to hospitality business mentorship programming</p><p>Sous Chef - $125+ HST/month membership fee</p><p>- access to equipped, sanitary kitchen space
- your own secure access code
- reduced hourly rate $10/hr
- includes long-term storage
- ability to purchase additional storage space on a monthly basis
- access to hospitality business mentorship programming</p><p>Executive Chef - $165+ HST/month membership fee</p><p>- everything offered in the Sous Chef membership PLUS:
+ 8 hours each month FREE
+ priority booking over junior members
+ voting priveleges on matters such as equipment, memberships, etc.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, St. Catharines L2R 5Y1 ON, Canada</span>","<time datetime=""2019-08-20T12:18:21.000Z"" title=""August 20, 2019 12:18 PM"">16 days ago</time>","Size (sqft) : 2,000Furnished : Yes",
Master bedroom,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>One master bedroom available from 12Sept, with private washroom.Looking for 2 girls to share.
450 per person.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">180 ho, Brampton L6S 1B5 ON, Canada</span>","<time datetime=""2019-09-04T12:32:29.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Furnished : NoPet Friendly : Yes,
Wanted: Looking for 2 room basement ,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>One married couple and sister looking for 2 room basement on reasonable rates with all utilities. Pure vegetarian quiet calm and non smoker. If any place available from Oct pls let me know. Thanku</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Antrim Crescent, Toronto, ON M1P 4P2, Canada</span>","<time datetime=""2019-09-04T12:32:28.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Furnished : Yes,
MODERN | INDUSTRIAL | HISTORIC - Treble Hall (Nov. 15th move-in),"$1,650.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Yoke Group presents Treble Hall<br/><br/>Unit 302 available for November 15th 2019.<br/>1 bedroom.<br/><br/>A Historic luxury living experience. Everything is brand new including open concept kitchen with island, stainless steel appliances, in-suite laundry, dishwasher and 3-piece bathroom. The units feature 200 year old wood beams and exposed brick. As well as an ample of light facing King Street and John Street.</p><p>The building is located downtown Hamilton at the corner of King and John and is steps away from the best restaurants in the city including The French, and right above Toast Wine Bar. City transportation is directly in front of the building and is steps away from Hamilton Go Station.<br/><br/></p><p><strong>SUITE FEATURES:</strong><br/>Open-concept kitchen with ample counter space &amp; modern kitchen cabinets<br/>Original hardwood flooring<br/>Exposed 200 year old brick and wood beams<br/>All new stainless-steel appliances and dishwasher<br/>23 foot ceilings<br/>A/C &amp; heating<br/>Ample natural light from expansive windows<br/>Brand new, 3-piece washroom including a bathtub</p><p><strong>PROPERTY FEATURES:</strong><br/>State-of-the-art security cameras, and lighting system<br/>Elevator &amp; buzzer system<br/>Public transit at your doorstep<br/>Hamilton-based property management that is proactive, responsive &amp; reliable<br/>Separately metered utilities.<br/>You only pay for what you use, do you dont subsidize your neighbours<br/>(Landlord pays for water and gas)</p><p><strong>NEIGHBOURHOOD AMENITIES:</strong><br/>Hamiltons best restaurants &amp; bars: Toast Wine Bar, The Mule, The French, HAMBRGR &amp; more</p><p><strong>WALKING DISTANCES:</strong><br/>Walk Score is 99 and is a very walkable location<br/>Transit Score is 88 and has excellent transit options<br/><br/></p><p>Call us to book an appointment 289-426-5692 or reply to this ad.<br/>To book a showing online:https://calendly.com/caitlyns/treble-hall-showing</p><p>www.yokegroup.ca</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">8 John Street North, Hamilton, ON, L8R 1G9</span>","<time datetime=""2019-09-04T12:32:26.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Unit TypeApartment : Bedrooms1 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyNo : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : Barrier-free Entrances and RampsYes : ,
RENOVATED STUDIO BACHELOR ON ST. PAUL,$999.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Yoke Group presents 233 St Paul</p><p>1 bedroom unit with high ceilings, expansive windows &amp; hardwood floors.</p><p>The building is located downtown St Catharines right above HAMBRGR and is steps away from everything in Downtown.<br/><br/></p><p><strong>SUITE FEATURES</strong></p><p>Large kitchen with ample counter space &amp; modern kitchen cabinets</p><p>All new stainless-steel appliances and dishwasher</p><p>A/C &amp; heating</p><br/><p><strong>PROPERTY FEATURES</strong></p><p>Close to all amenities</p><p>Public transit steps away</p><p>Hamilton-based property management that is proactive, responsive &amp; reliable</p><p>Separately metered utilities. You only pay for what you use, do you dont subsidize your neighbours (Landlord pays gas and water)</p><p>Laundry within building<br/><br/></p><p><strong>NEIGHBOURHOOD AMENITIES</strong></p><p>St Cathariness best restaurants &amp; bars: Lost and Found, HAMBRGR &amp; more</p><p>Right across from First Ontario Center</p><p></p><p>Call to book an appointment 289-426-5692 or reply to this ad.</p><p>www.yokegroup.ca</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">235 St. Paul Street, St. Catharines, ON, L2R 3M6</span>","<time datetime=""2019-09-04T12:32:24.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>","Unit TypeApartment : Bedrooms1 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateSeptember 1, 2019 : Pet FriendlyNo : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
bachelor apt for rent,"$1,275.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>bachelor apt on the second flor of a 3 storey apt.building-available immediately---ttc 24/7 subway 5 minutes--need good reference from landlords----good credit---last 6 months bank statement--call 647-930-4642 or 416-558-2912-no messages or e mails</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">1774 Eglinton Ave W, York, ON M6E 2H6, Canada</span>","<time datetime=""2019-09-04T12:32:24.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>","Unit TypeApartment : BedroomsBachelor/Studio : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateSeptember 4, 2019 : Pet FriendlyNo : Size (sqft)500 : FurnishedYes : Air ConditioningNo : Smoking PermittedNo : ",
"2 Bedroom + den , in the heart of wortley village OCT 1ST","$1,600.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Newly revovated 2 bedroom + den</p><p>master bedroom with large walkin closet</p><p>newly renovated bathroom with jucuzzi tub.</p><p>kitchen includes refrigerator, a brand new gas stove and a brand new dish washer.</p><p>all new windows</p><p>all new flooring</p><p>backyard backs onto thames park with stunning views of downtown</p><p>walking distance to downtown ,grocery store ,numerous restaurants</p><p>washer and dryer included</p><p>fire inspected and certified with updated electrical panel</p><p>seeking mature adults</p><p>1600 + personal hydro , available OCTOBER 1ST</p><p>This KIJIJI add get deleted and re-added daily,
Dont save the add, same my phone number</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">49 Craig St, London, ON N6C 1E9, Canada</span>","<time datetime=""2019-09-04T12:32:22.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>","Unit TypeApartment : Bedrooms2 + Den : Bathrooms1 : Parking Included2 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)2,000 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Parking Spots (Brybeck Crescent),$80.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Two parking spots available for rent at $60 per month (per spot)
8 minute walk to Catalyst or Belmont Village</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">35 Brybeck Crescent, Kitchener, ON N2M 2C5, Canada</span>","<time datetime=""2019-09-04T12:32:09.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",More Info : Parking,
Furnished house  on  Rideau lakes.,"$2,400.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Just 5 minutes from Smiths Falls , this fully furnished home located on the shores of Rideau lake is available for short term rental from November 1st to May 1st.
Two car garage, office area, high speed internet service, gas fireplace in family room. Game room with pool table. Hot tub.
The most spectacular sunsets.
Two full baths, master with jacuzzi tub, on- suite with second bedroom. Third bedroom presently set-up as office could be easily third bedroom. Laundry room, all typical appliances.
Non smoker.
2,400 per month plus heat and hydro.
First month and damage deposit.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">K7A5B8, Canada</span>","<time datetime=""2019-09-04T12:32:05.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Bedrooms : 3Bathrooms : 2Furnished : Yes,
"Large 3 bedroom, 2 baths, condo apartment on ground floor.","$2,650.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Large 3 bedroom, 2 baths, condo apartment on ground floor.
Buses and Go train all very close and Hillcrest Mall on next block.
Master bedroom, walk in closet, 4 pc. bathroom.
Second and third bedroom with closet.
Main bathroom 4pc., and laundry room with washer and dryer.
Kitchen with all appliances.
2 car underground parking and storage locker.
Outdoor swimming pool and club house recreation.
Call: 416 436 4354</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">70 Baif, L4C 5L2, Richmond Hill, ON</span>","<time datetime=""2019-09-04T12:31:39.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>","Unit TypeCondo : Bedrooms3 : Bathrooms2 : Parking Included2 : Agreement Type1 Year : Move-In DateSeptember 15, 2019 : Pet FriendlyNo : Size (sqft)1,400 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
3 Bdrm House for Rent - Brand New Floors & Paint,"$1,995.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>This 3 bdrm detached home rents for $1995/mnth plus utilities.</p><p>1500 sq ft including finished basement.</p><p>Features: -</p><p>• Brand new paint throughout - ready for Oct 1
• Brand new carpet on all stairs - ready for Oct 1
• Brand new laminate flooring on top floor &amp; finished basement - ready for Oct 1
• Finished basement including 2-piece bathroom
• 6 appliances including dishwasher &amp; microwave
• All window coverings
• Hardwood in living room
• Central Vacuum
• Air Conditioning
• Garage with door opener
• Fully fenced back yard complete with a shed, convenient gas fire pit and a stone patio
• Great location in popular south end of Barrie on bus route with 2 plazas, schools and amenities nearby</p><p>Applicant must be employed.</p><p>First and last, references, application and credit check are required.</p><p>Please leave your name &amp; PHONE NUMBER to arrange a viewing. Thank you.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, L4N 9Z2, Barrie, ON</span>","<time datetime=""2019-09-04T12:31:12.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms3 : Bathrooms1.5 : Parking Included3+ : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)1,500 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
