Title,Price,Description,Location,Ddate Posted,Features,URL
PRIVATE BACHELOR STUDIO Weston rd /Hw 401 for single man only,"$1,400.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>PRIVATE BACHELOR STUDIO Weston rd /Hw 401 for single man only, at the first floor of private house with large window, hardwood floor, NO CONTRACT for 1 year, monthly rent only, first and last month down payment, all utilities include, furnished, PRIVATE kitchen and bathroom with 1 man only. WI Fi unlimited high speed Internet and Internet digital TV Fibe BELL 300+ channels include. Laundry at first floor. NO PETS. Parking free around the corner or extra in my driveway.
Steps to LCBO, Beer store, Tim Hortons, Subway, McDonald, Superstore, Canadian Tires, Best Buy, convenience, gas station, TD bank, CIBC bank, Hw 401,400,427 very close, 24 hours TTC bus stops near my house, airport Pierson 10 min by car. Subway Wilson station 10 min by bus, GO station 10 min by bus. Near Humber river and beautiful huge Humber Park. SEE GOOGLE MAP HOUSE LOCATION.
Please, don't call, text only 416-587-4395 or email</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, TORONTO M9M2R7 ON, Canada</span>","<time datetime=""2019-09-04T16:25:31.000Z"" title=""September 4, 2019 4:25 PM"">about 3 hours ago</time>","Unit TypeHouse : BedroomsBachelor/Studio : Bathrooms1 : Parking Included1 : Agreement TypeMonth-to-month : Move-In DateSeptember 4, 2019 : Pet FriendlyNo : Size (sqft)500 : FurnishedYes : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Shared Office  - Tech / Creative - Queen West at Spadina,"$2,200.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Large Office at Queen and Spadina / Queen West / King West / Downtown Toronto.</p><p>We are looking to sublease some of our space</p><p>The space offers:
-Entire top floor of building
-All Furniture included (Desks, Chairs, Boardroom tables etc.)
-Internet / Wifi / Heat / Hydro / AC / Janitorial - All included
-2500 sqft Rooftop Patio / Terrace (Exclusive use for our floor)
-2 Large Boardrooms
-2 Private sound proof phone calling booths
-Full Kitchen
-2 Bathrooms with multiple stalls
-Open concept office / high ceilings / natural light
-Reception area</p><p>Price:
$9000 - 2000 square feet (All furniture included)
$4400 - Dedicated Section (12 Desks)
$2200 - Dedicated Section (6 Desks)
-More options available. Please contact us for more information.</p><p>Term:
-Month to Month, or long term</p><p>About the space:
-Home to a technology company that has some extra space
-In the heart of Downtown / Queen West Toronto
-Extra high ceilings
-Amazing natural light
-Open concept</p><p>What's in included:
-Dedicated section
-Desks and chairs provided
-High Speed Wifi Internet
-24/7 access / Security system
-Heat/ Hydro/ Air Conditioning</p><p>Amenities:
-Kitchen. Coffee machine. Filtered water.
-Washrooms
-2 Meeting rooms
-Large 2500 sqft outdoor patio / Terrace with seating areas and barbecue</p><p>What we're looking for:
-Hard working creative/ tech / business minded individuals or small companies
-Ideal for Startups, Video production, Tech companies, Small Companies</p><p>Office Space, Office Desk, Desk Space, Downtown, Queen West, King West, Toronto, Tech, Office Space, Studio Space, Hot Desk, Wework, We Work, Shared Space, Shared Office, Coworking space, Co-Working Space</p><p>Contact us for more information.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, Toronto M5V2B4 ON, Canada</span>","<time datetime=""2019-09-04T16:25:14.000Z"" title=""September 4, 2019 4:25 PM"">about 3 hours ago</time>","Size (sqft) : 1,000Furnished : Yes",
Wanted: looking for a place to call home ,"$1,000.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Looking for a house in Brockville prescott preferably in the country. I have an 8 year old pug I work full time diesel mechanic and I make good money</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">3509 Coons Rd, Brockville, ON K6T 1A7, Canada</span>","<time datetime=""2019-09-04T16:25:05.000Z"" title=""September 4, 2019 4:25 PM"">about 3 hours ago</time>","Unit TypeHouse : Bedrooms2 : Bathrooms1.5 : Parking Included2 : Agreement Type1 Year : Move-In DateSeptember 30, 2019 : Pet FriendlyYes : Size (sqft)700 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
Promenade Mall 1+1 Condo  Den can be used as a second bedroom,"$2,100.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Beautiful luxury condo. Den can be used as a second bedroom with 700 square feet and balcony. New laminate floors and freshly painted unit. Steps to Promenade Mall, Schools, Park, Highways, Grocery. Close to Subways , TTC and much more. Heat, Water and Parking included.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">100 Promenade Cir, Thornhill, ON L4J 7W7, Canada</span>","<time datetime=""2019-09-04T16:24:55.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>","Unit TypeApartment : Bedrooms1 + Den : Bathrooms1 : Parking Included1 : Agreement Type1 Year : Move-In DateSeptember 10, 2019 : Pet FriendlyNo : Size (sqft)700 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
House For Rent in Port Credit,"$2,300.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Home for Rent in the Heart of Port Credit just a short walk to the shops, boutiques, restaurants, cafes, parks, and the lake. Newly renovated kitchen and bathroom, rear tree yard and balcony, detached garage and multi car driveway lane. Rent is $2300/month not including utilities. Short term rental under 1 Year. Contact call or text 647-969-7992.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, L5G3N4, mississauga, ON</span>","<time datetime=""2019-09-04T16:24:54.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>","Unit TypeHouse : Bedrooms3 : Bathrooms1.5 : Parking Included3+ : Agreement TypeMonth-to-month : Move-In DateSeptember 4, 2019 : Pet FriendlyYes : Size (sqft)2,500 : FurnishedNo : Air ConditioningNo : Smoking PermittedYes : ",
Private Room in International House and Super Clean!,$800.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Private Room in International House and Super Clean!</p><p>Plz answer my questions at the bottom if you would like to be considered as one of our new roommates : )</p><p>Location: Jane and Lawrence</p><p>- 5 minute walk from 24hr TTC bus stop that takes you to Jane station in 15-20 minutes (lots of jobs and action at Jane and Bloor)</p><p>- 45-60 min to downtown using TTC</p><p>- 35 min to downtown using Weston GO train (station 10 minute walk away and takes you to downtown Union station in 22 minutes. This is different from the TTC)</p><p>- 30 min direct bus to York U</p><p>- 30 min bus to Humber College North</p><p>- 20 minute bus ride to airport area and high end restaurants (great place to find a job)</p><p>- 30 minute bus ride to Yorkdale Mall (more jobs)</p><p>- we also have 3 different Tim Horton's Coffee shop locations within walking distance (quick job!)</p><p>* Please mapquest or google my location and only contact me if the location suits you (Plainfield Road, Jane and Lawrence area, postal code is M9N 1G7). I will give you the house number later. Please jot down the address now as I get many calls.</p><p>FURNISHED Room options available (we have 3 different types of rooms to choose from):</p><p>1. Small room with Twin size bed (private, not shared, main floor of house) - 1 person - $800/mth</p><p>2. Large room with Double size bed (private, not shared, main floor of house) - 1 person - $900/mth</p><p>3. Two twin size beds (shared, 2nd floor of house with walkout deck) - 2 persons - $1,300/mth ($650 each person)</p><p>We have a lot to offer our guests including:</p><p>Beautifully furnished rooms (bed, bed linen, TV, desk, art decor)</p><p>Large living/dining room with big screen TV</p><p>Cable (premium Cable channels)</p><p>Super fast fiber optic internet/wifi (1 gb)</p><p>On-site laundry (don't have to pay extra coins)</p><p>Kitchens equipped with all utensils, cookware, small appliances</p><p>Guest access to huge backyard with swimming pool, BBQ, fireplace, fruit trees</p><p>Guest access to gym with very good equipment and boxing equipment</p><p>Bicycles</p><p>Games (darts, fuseball table, basketball net, board games, etc.)</p><p>All utilities included</p><p>We buy some supplies (cleaning supplies, toilet paper, hand soap, garbage bags, laundry detergent). All of this SAVES YOU $$$!</p><p>We have an in-house weekly cleaner</p><p>Our home is super clean!</p><p>We have an organized household and offer you a smooth move-in transition : )</p><p>About Us:</p><p>Looking for friendly, sociable and responsible roommates.</p><p>We do this because we love to learn new cultures and love to socialize with like-minded people. We want to live in a fun and peaceful home where we are a part of each other's lives, where we help each other full-fill our dreams and create lifelong friendships and awesome memories : )</p><p>Currently, we are a group of international friendly housemates from all over the world: Canada, Germany, Norway, France, Colombia, Brazil, etc. Age ranges from 20 to 47 with majority of us in their twenties. We are seeking like minded friendly and sociable house mates.</p><p>International travellers/students/couples are very welcomed : )</p><p>We cater to international travelers mainly those on Canadian working VISA and exchange students. We take pride in providing a home away from home. We understand the loneliness and fear of coming to a new country without any friends or family for support. When you arrive at our home, you will have instant friends to go see the sites with and do stuff with and generally guide you in this big new wonderful city of Toronto. Everyone here has been ""the new roommate"" at one point in time so we all understand what it's like to be the new person and we provide a warm friendly welcome! : )</p><p>We have many activities here and we love to socialize on summer nights by the fire with great conversation. And winter nights watching ""Walking Dead"", movies, and playing board games and cards.</p><p>We enjoy breaking bread together, BBQs and dinners. Sharing a few laughs in the backyard, and having ""Game"" nights. We like to have fun but this not a crazy party house. We all work or go to school. Respecting each other's schedules, we are mindful of keeping the noise down as to not to disturb anyone's sleep.</p><p>Amenities Within Walking Distance:</p><p>""No Frills"" grocery store</p><p>Shoppers Drug Mart</p><p>Restaurants (Tim Hortons, Subway Sandwiches, Wendy's, Pizza Nova, and many more)</p><p>Nice park right across the street in a quiet residential safe neighbourhood</p><p>Directions using TTC:</p><p>From Jane station: take 35 bus, get off at Trethewey. Cross the street to the Subway Restaurant shop, continue walking north on Jane a few steps. Make a left onto John Best. Walk a few steps and make a right onto Plainfield Road which is my street.</p><p>From Eglinton Station: Take 32C (has to be C, not A or B) and get off at Wright Ave (last stop of the route). When you get off at Wright Ave, continue walking West (away from Jane St). At the stop sign, make a left onto Plainfield.</p><p>From Lawrence West Station: take, the 52 or any of the 58 bus and get off at Jane Street. Walk across the street south and west side (you should be on the opposite side of No Frills). Walk south along Jane Street and make a right onto Wright Ave (it's the 3rd little street south of Lawrence). Continue walking along Wright Ave and make a left at the STOP sign which is my street Plainfield Road.</p><p>My house is located just past the little park, and across the street from the park.</p><p>If You Are Interested In Renting a Room, please email me the following (copy&amp;paste):</p><p>Name?</p><p>Phone Number (if in Canada)?</p><p>Age?</p><p>Male or female?</p><p>Nationality?</p><p>Languages spoken?</p><p>Are you here to improve your English? We have a great environment for that : )</p><p>Are you currently in Toronto? If not, what country are you in? We can meet over skye : )</p><p>How long of a stay are you looking for?</p><p>Exact move-in date?</p><p>Exact move-out date?</p><p>Which room are you interested in?</p><p>Studying (what school &amp; program)?</p><p>Working (do you have a job already lined up or will you be searching for one, what occupation will you be searching for)?</p><p>Do you require parking ($50 extra/month)?</p><p>We look forward getting to know you!</p><p>Some conditions apply.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">14 Plainfield Rd, North York, ON M9N 1G7, Canada</span>","<time datetime=""2019-09-04T16:24:48.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>",Furnished : YesPet Friendly : No,
** Niagara Falls ** Brand New **,"$1,850.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Ready to go!
Beautiful brand-new townhouse
2 bedrooms / 2 baths / Master with walk-in &amp; ensuite
Open concept kitchen / dining room / living room
Stainless Appliances
Walking distance to the mall, Lundy’s lane, easy access to QEW.</p><p>$1850 plus utilities
Rent includes parking, grass cutting and snow removal, garbage removal.</p><p>First &amp; Last Month Rent required
Rental Application / Credit Check / References required</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Ascot Cir, Niagara Falls, ON L2H 3H2, Canada</span>","<time datetime=""2019-09-04T16:24:42.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>","Unit TypeTownhouse : Bedrooms2 : Bathrooms1.5 : Parking Included1 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)1,200 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Furnished Downtown Toronto 1 Bed Condo,"$2,600.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Furnished Downtown Toronto Condo available for rent. Great location in the heart of downtown, tastefully furnished with a queen size bed, plush bedding, stainless steel appliances, trendy living room furniture, LCD TV, DVD. Cutlery, crockery cooking utensils provided. Executive living just bring your suitcase and enjoy furnished downtown living.
Ultimate condo living with concierge, 24 hour security, gym, whirlpool jacuzzi, breathtaking views at rooftop patio, condo party room.</p><p>AAA renter, references, employment letter, one year lease</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">50 Blue Jays Way, Toronto, ON M5V 2G3, Canada</span>","<time datetime=""2019-09-04T16:24:40.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>","Unit TypeCondo : Bedrooms1 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyNo : Size (sqft)600 : FurnishedYes : Air ConditioningYes : Smoking PermittedNo : ",
Rooms for rent  Near Brampton  and Caledon,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Rooms available for short term rent for students, working professionals in Brampton/caledon very quite place,Parking also available starting $600 to 1500 per Month. Contact 647 627 3263 only serious enquiries. Ask for showing.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">12413 Heritage Rd, L7c1t8, Caledon, ON</span>","<time datetime=""2019-09-04T16:24:36.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>",Furnished : YesPet Friendly : No,
Basement for rent available from October ,"$1,200.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Nearest Intersection - Airport Rd and Derry Rd
-Walkout basement (Only kitchen will be shared)
-Could be shared by two people. (Couple or Professional Preferred)
-Price includes utilities and high speed WiFi
Steps away from -
-TTC and MiWay
-Indian Grocery Store
-Malton Masjid
-Malton Gurudwara
-Westwood Mall (1km away) - Walmart, Dollarama etc
No Smoking/Vaping
No Parking Included</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">3071 Churchill Ave, Mississauga, ON L4T 1R4, Canada</span>","<time datetime=""2019-09-04T16:24:24.000Z"" title=""September 4, 2019 4:24 PM"">about 3 hours ago</time>",Furnished : NoPet Friendly : Yes,
